id;position x;position y;position z;side
7;6.77;1.2;4.82;N
8;6.77;1.2;3.81;N
9;6.77;1.2;2.74;N
10;6.77;1.2;1.74;N
11;6.77;1.2;0.78;N
12;1.4;0.86;0.01;E
13;2.4;0.86;0.01;E
14;3.10;0.86;0.01;E
15;5.63;1.50;0.01;E
28;4.12;0.98;0.01;E
16;0.01;1.45;2.57;S
17;0.01;1.46;3.85;S
18;0.01;1.47;5.31;S
19;0.40;1.50;1.32;S
24;0.40;0.90;1.90;S
25;0.01;0.81;2.92;S
27;0.01;0.70;2.46;S
20;1.44;1.04;5.81;W
21;2.47;1.04;5.81;W
22;1.56;1.09;5.81;W
23;3.46;1.12;5.81;W
1;1.;1.5;5.81;W
2;2.;1.5;5.81;W
3;3.;1.5;5.81;W
5;4.;1.5;5.81;W
6;5.;1.5;5.81;W

